6,64,0.003405
6,128,0.008108
6,196,0.018101
6,512,0.228896
6,640,0.414298
6,1024,1.913884
6,1048,1.727657
6,100,0.005602
6,200,0.021111
6,300,0.056453
6,400,0.125591
6,500,0.208746
6,600,0.350552
6,700,0.567182
6,800,0.800396
6,900,1.168228
6,1000,1.608178
6,1052,1.895519
6,1049,2.025828
6,1055,2.025165
6,1053,2.027431
6,1047,1.969272
6,1053,2.010578
6,1054,1.890365
6,1052,1.823770
6,100,0.005316
6,200,0.016742
6,300,0.044035
6,400,0.093460
6,500,0.187637
6,600,0.314160
6,700,0.495887
6,800,0.778195
6,900,1.065043
6,1000,1.525773
