8,64,0.003200
8,128,0.008782
8,196,0.017511
8,512,0.180898
8,640,0.331433
8,1024,1.618090
8,1048,1.482669
8,100,0.005713
8,200,0.018947
8,300,0.045356
8,400,0.093681
8,500,0.175270
8,600,0.269804
8,700,0.420668
8,800,0.622707
8,900,0.978132
8,1000,1.298175
8,1052,1.536236
8,1049,1.773451
8,1055,1.809665
8,1053,1.776531
8,1047,1.729110
8,1053,1.856979
8,1054,1.772329
8,1052,1.623974
8,100,0.005272
8,200,0.016985
8,300,0.041606
8,400,0.079275
8,500,0.155202
8,600,0.254664
8,700,0.408048
8,800,0.597291
8,900,0.969293
8,1000,1.292901
