2,64,0.004191
2,128,0.011669
2,196,0.026434
2,512,0.394547
2,640,0.694540
2,1024,3.358066
2,1048,3.114323
2,100,0.005847
2,200,0.035066
2,300,0.097711
2,400,0.205885
2,500,0.415129
2,600,0.615957
2,700,1.002364
2,800,1.351254
2,900,2.173312
2,1000,2.844605
2,1052,3.536012
2,1049,3.975749
2,1055,3.988488
2,1053,3.991987
2,1047,3.912432
2,1053,3.815428
2,1054,3.525453
2,1052,3.317713
2,100,0.006150
2,200,0.024609
2,300,0.069431
2,400,0.152685
2,500,0.315530
2,600,0.517647
2,700,0.931082
2,800,1.270694
2,900,2.017460
2,1000,2.609944
