10,64,0.003063
10,128,0.006883
10,196,0.017088
10,512,0.194470
10,640,0.358159
10,1024,1.619632
10,1048,1.495422
10,100,0.006663
10,200,0.019344
10,300,0.046441
10,400,0.091718
10,500,0.172534
10,600,0.287462
10,700,0.477323
10,800,0.663778
10,900,0.977227
10,1000,1.292438
10,1052,1.491639
10,1049,1.672910
10,1055,1.696333
10,1053,1.660884
10,1047,1.608415
10,1053,1.705237
10,1054,1.618471
10,1052,1.511333
10,100,0.005743
10,200,0.016481
10,300,0.043144
10,400,0.086045
10,500,0.163040
10,600,0.277892
10,700,0.437142
10,800,0.650070
10,900,0.950848
10,1000,1.278702
