5,64,0.003004
5,128,0.007402
5,196,0.018765
5,512,0.223605
5,640,0.412134
5,1024,1.919156
5,1048,1.807812
5,100,0.005848
5,200,0.020127
5,300,0.059167
5,400,0.109985
5,500,0.210863
5,600,0.342578
5,700,0.543139
5,800,0.822066
5,900,1.139689
5,1000,1.565209
5,1052,1.896260
5,1049,2.038247
5,1055,2.054523
5,1053,2.127458
5,1047,2.025668
5,1053,2.064079
5,1054,2.010434
5,1052,1.948022
5,100,0.004454
5,200,0.018203
5,300,0.048105
5,400,0.105582
5,500,0.197199
5,600,0.333932
5,700,0.529783
5,800,0.860777
5,900,1.110125
5,1000,1.676363
