12,100,1000000,0.001513
12,200,8000000,0.008673
12,300,27000000,0.027565
12,400,64000000,0.068219
12,500,125000000,0.125580
12,600,216000000,0.215437
12,700,343000000,0.346295
12,800,512000000,0.525824
12,900,729000000,0.742678
12,1000,1000000000,1.056807
12,1100,1331000000,1.447928
12,1200,1728000000,1.957561
12,1300,-2097967296,2.331922
12,1400,-1550967296,3.241941
12,1500,-919967296,3.875383
12,1600,-198967296,5.096177
12,1700,618032704,5.985376
12,1800,1537032704,7.533159
12,1900,-1730934592,8.514238
12,2000,-589934592,10.699451
12,2050,25190408,11.465988
12,2100,671065408,11.920791
12,2150,1348440408,13.058696
12,2200,2058065408,14.503770
12,2250,-1494276888,15.629942
12,2300,-717901888,15.291129
12,2350,92973112,16.416954
12,2400,939098112,19.052601
