1,100,1000000,0.001402
1,200,8000000,0.010604
1,300,27000000,0.035495
1,400,64000000,0.087102
1,500,125000000,0.163732
1,600,216000000,0.293239
1,700,343000000,0.461780
1,800,512000000,0.705694
1,900,729000000,1.002034
1,1000,1000000000,1.442371
1,1100,1331000000,2.007610
1,1200,1728000000,2.757390
1,1300,-2097967296,3.126413
1,1400,-1550967296,4.716754
1,1500,-919967296,5.092493
1,1600,-198967296,7.309515
1,1700,618032704,8.211976
1,1800,1537032704,11.055802
1,1900,-1730934592,11.336756
1,2000,-589934592,15.433342
1,2050,25190408,16.459895
1,2100,671065408,16.222693
1,2150,1348440408,17.718192
1,2200,2058065408,20.440847
1,2250,-1494276888,21.801505
1,2300,-717901888,20.198946
1,2350,92973112,21.961409
1,2400,939098112,26.489023
