1,100,1000000,0.009840
1,200,8000000,0.054769
1,300,27000000,0.145829
1,400,64000000,0.320429
1,500,125000000,0.602706
1,600,216000000,1.028725
1,700,343000000,1.524279
1,800,512000000,2.337491
1,900,729000000,3.238819
1,1000,1000000000,4.581895
2,100,1000000,0.008262
2,200,8000000,0.034172
2,300,27000000,0.094759
2,400,64000000,0.204840
2,500,125000000,0.407734
2,600,216000000,0.706796
2,700,343000000,0.946501
2,800,512000000,1.582042
2,900,729000000,2.059005
2,1000,1000000000,2.899832
3,100,1000000,0.005343
3,200,8000000,0.023233
3,300,27000000,0.064566
3,400,64000000,0.143917
3,500,125000000,0.258120
3,600,216000000,0.458420
3,700,343000000,0.708486
3,800,512000000,1.052149
3,900,729000000,1.476389
3,1000,1000000000,2.258584
4,100,1000000,0.004781
4,200,8000000,0.019942
4,300,27000000,0.057087
4,400,64000000,0.128149
4,500,125000000,0.238396
4,600,216000000,0.408044
4,700,343000000,0.581830
4,800,512000000,0.893056
4,900,729000000,1.248632
4,1000,1000000000,1.739583
5,100,1000000,0.005471
5,200,8000000,0.018759
5,300,27000000,0.050436
5,400,64000000,0.115437
5,500,125000000,0.206823
5,600,216000000,0.343429
5,700,343000000,0.537946
5,800,512000000,0.802029
5,900,729000000,1.130201
5,1000,1000000000,1.661190
6,100,1000000,0.006006
6,200,8000000,0.020246
6,300,27000000,0.052455
6,400,64000000,0.110558
6,500,125000000,0.203174
6,600,216000000,0.354802
6,700,343000000,0.537677
6,800,512000000,0.798286
6,900,729000000,1.071899
6,1000,1000000000,1.565519
7,100,1000000,0.005436
7,200,8000000,0.016003
7,300,27000000,0.041550
7,400,64000000,0.097220
7,500,125000000,0.180315
7,600,216000000,0.311901
7,700,343000000,0.469638
7,800,512000000,0.713187
7,900,729000000,1.010373
7,1000,1000000000,1.406921
8,100,1000000,0.005617
8,200,8000000,0.017211
8,300,27000000,0.039202
8,400,64000000,0.092431
8,500,125000000,0.185690
8,600,216000000,0.288038
8,700,343000000,0.444049
8,800,512000000,0.675843
8,900,729000000,0.940328
8,1000,1000000000,1.348332
10,100,1000000,0.005424
10,200,8000000,0.017042
10,300,27000000,0.044990
10,400,64000000,0.092183
10,500,125000000,0.175597
10,600,216000000,0.297971
10,700,343000000,0.448948
10,800,512000000,0.667108
10,900,729000000,0.947012
10,1000,1000000000,1.308824
12,100,1000000,0.005459
12,200,8000000,0.019021
12,300,27000000,0.042966
12,400,64000000,0.087123
12,500,125000000,0.162488
12,600,216000000,0.274919
12,700,343000000,0.428840
12,800,512000000,0.633445
12,900,729000000,0.881615
