4,100,1000000,0.001630
4,200,8000000,0.008310
4,300,27000000,0.027628
4,400,64000000,0.076122
4,500,125000000,0.127499
4,600,216000000,0.226471
4,700,343000000,0.356235
4,800,512000000,0.533012
4,900,729000000,0.745850
4,1000,1000000000,1.057124
4,1100,1331000000,1.413029
4,1200,1728000000,1.872777
4,1300,-2097967296,2.326071
4,1400,-1550967296,3.366602
4,1500,-919967296,3.813737
4,1600,-198967296,5.236009
4,1700,618032704,6.215977
4,1800,1537032704,8.128501
4,1900,-1730934592,8.711310
4,2000,-589934592,11.605650
4,2050,25190408,12.163724
4,2100,671065408,12.381572
4,2150,1348440408,13.403566
4,2200,2058065408,15.397341
4,2250,-1494276888,16.467931
4,2300,-717901888,15.169970
4,2350,92973112,16.827353
4,2400,939098112,20.080859
