5,100,1000000,0.001533
5,200,8000000,0.010652
5,300,27000000,0.032636
5,400,64000000,0.075012
5,500,125000000,0.142976
5,600,216000000,0.242610
5,700,343000000,0.377514
5,800,512000000,0.561815
5,900,729000000,0.783349
5,1000,1000000000,1.073296
5,1100,1331000000,1.435224
5,1200,1728000000,1.841462
5,1300,-2097967296,2.320304
5,1400,-1550967296,2.954546
5,1500,-919967296,3.607379
5,1600,-198967296,4.395366
5,1700,618032704,5.225667
5,1800,1537032704,6.208478
5,1900,-1730934592,7.328830
5,2000,-589934592,8.492490
5,2050,25190408,9.160629
5,2100,671065408,9.869539
5,2150,1348440408,10.605218
5,2200,2058065408,11.379588
5,2250,-1494276888,12.119798
5,2300,-717901888,12.974212
5,2350,92973112,13.859698
5,2400,939098112,14.702484
